COMMUNITY,Zoom,Lat,Lon
CHICAGO,9,41.81,-87.7
ROGERS PARK,13,42.008361,-87.675446
WEST RIDGE,13,42.003259,-87.699307
UPTOWN,13,41.967276,-87.65828
LINCOLN SQUARE,13,41.96817,-87.687977
NORTH CENTER,13,41.945192,-87.654504
LAKE VIEW,13,41.945192,-87.654504
LINCOLN PARK,13,41.920928,-87.645406
NEAR NORTH SIDE,13,41.900488,-87.636307
EDISON PARK,13,42.0053,-87.812947
NORWOOD PARK,13,41.986163,-87.799214
JEFFERSON PARK,13,41.972362,-87.764432
FOREST GLEN,13,42.000804,-87.763531
NORTH PARK,13,41.980677,-87.717847
ALBANY PARK,13,41.969446,-87.715958
PORTAGE PARK,13,41.959235,-87.764539
IRVING PARK,13,41.954129,-87.733124
DUNNING,13,41.95298,-87.796982
MONTCLARE,13,41.925526,-87.799042
BELMONT CRAGIN,13,41.932422,-87.770031
HERMOSA,13,41.929996,-87.738274
AVONDALE,13,41.93919,-87.71201
LOGAN SQUARE,13,41.928463,-87.711323
HUMBOLDT PARK,13,41.902405,-87.722309
WEST TOWN,13,41.901127,-87.68403
AUSTIN,13,41.887582,-87.763165
WEST GARFIELD PARK,13,41.882215,-87.730377
EAST GARFIELD PARK,13,41.881192,-87.70068
NEAR WEST SIDE,13,41.879147,-87.666176
NORTH LAWNDALE,13,41.859845,-87.7151
SOUTH LAWNDALE,13,41.844373,-87.712181
LOWER WEST SIDE,13,41.855242,-87.666348
LOOP,13,41.881704,-87.629098
NEAR SOUTH SIDE,13,41.857671,-87.624634
ARMOUR SQUARE,13,41.841432,-87.631157
DOUGLAS,13,41.836316,-87.62
OAKLAND,13,41.82506,-87.607468
FULLER PARK,13,41.819943,-87.63768
GRAND BOULEVARD,13,41.815082,-87.619999
KENWOOD,13,41.810988,-87.599743
WASHINGTON PARK,13,41.793936,-87.617919
HYDE PARK,13,41.797168,-87.598199
WOODLAWN,13,41.779505,-87.60043
SOUTH SHORE,13,41.760172,-87.573994
CHATHAM,13,41.742627,-87.612446
AVALON PARK,13,41.747238,-87.589787
SOUTH CHICAGO,13,41.734173,-87.551679
BURNSIDE,13,41.731739,-87.599228
CALUMET HEIGHTS,13,41.729946,-87.578458
ROSELAND,13,41.702781,-87.627209
PULLMAN,13,41.693168,-87.605923
SOUTH DEERING,13,41.700602,-87.558202
EAST SIDE,13,41.713418,-87.534512
WEST PULLMAN,13,41.675476,-87.63768
RIVERDALE,13,41.666757,-87.604893
HEGEWISCH,13,41.655471,-87.547386
GARFIELD RIDGE,13,41.793201,-87.780846
ARCHER HEIGHTS,13,41.811627,-87.727459
BRIGHTON PARK,13,41.819304,-87.70171
MCKINLEY PARK,13,41.832159,-87.673945
BRIDGEPORT,13,41.837403,-87.649826
NEW CITY,13,41.807405,-87.658022
WEST ELSDON,13,41.794352,-87.726685
GAGE PARK,13,41.797424,-87.694413
CLEARING,13,41.780273,-87.774407
WEST LAWN,13,41.772336,-87.722909
CHICAGO LAWN,13,41.773872,-87.699563
WEST ENGLEWOOD,13,41.782321,-87.676561
ENGLEWOOD,13,41.785393,-87.654931
GREATER GRAND CROSSING,13,41.78227,-87.60428
ASHBURN,13,41.772336,-87.701787
AUBURN GRESHAM,13,41.750824,-87.666081
BEVERLY,13,41.744677,-87.689427
WASHINGTON HEIGHTS,13,41.729305,-87.655095
MOUNT GREENWOOD,13,41.69149,-87.70489
MORGAN PARK,13,41.713418,-87.534512
O'HARE,13,41.99568,-87.92638
EDGEWATER,13,41.987438,-87.66111
