state_abbr,state_fips,county_fips,county_name,tract_code,stcotr_fips,stpl_fips,city_name,metric_name,metric_number,group_name,group_number,num,denom,est,lci,uci,data_yr_type,date_export,geo_level,version,suggested_citation
IL,17,31,Cook County,10100,17031010100,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,68.8,66,71.6,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,10201,17031010201,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,77.3,74.1,80.5,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,10202,17031010202,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,78.6,76.4,80.8,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,10300,17031010300,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,70,68.3,71.7,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,10400,17031010400,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,79.7,76.5,82.9,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,10501,17031010501,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,80.8,76.3,85.3,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,10502,17031010502,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,79.1,75.2,83,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,10503,17031010503,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,78.4,72.7,84.1,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,10600,17031010600,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,79.1,76.4,81.8,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,10701,17031010701,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,83.8,77.6,90,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,10702,17031010702,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,75.4,70.1,80.7,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,20100,17031020100,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,79.7,77.1,82.3,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,20200,17031020200,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,81.9,79.7,84.1,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,20301,17031020301,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,83.7,81.6,85.8,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,20302,17031020302,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,73,71.3,74.7,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,20400,17031020400,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,82.7,78.5,86.9,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,20500,17031020500,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,77.6,74.3,80.9,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,20601,17031020601,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,79.4,77,81.8,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,20602,17031020602,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,79.6,77.1,82.1,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,20701,17031020701,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,81.1,77.7,84.5,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,20702,17031020702,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,77.5,75.5,79.5,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,20801,17031020801,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,80.4,76.1,84.7,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,20802,17031020802,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,79.1,76.9,81.3,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,20901,17031020901,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,77,73.3,80.7,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,20902,17031020902,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,78.5,73.3,83.7,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,30101,17031030101,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,NA,NA,NA,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,30102,17031030102,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,76,70.1,81.9,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,30103,17031030103,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,79.1,74.9,83.3,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,30104,17031030104,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,NA,NA,NA,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
