sec_neigh,Health,Green,Lots
BRONZEVILLE,4,9,13
PRINTERS ROW,4,5,9
UNITED CENTER,7,1,8
SHEFFIELD & DEPAUL,2,5,7
HUMBOLDT PARK,6,2,8
GARFIELD PARK,7,6,13
NORTH LAWNDALE,4,7,11
LITTLE VILLAGE,9,5,14
"ARMOUR SQUARE,CHINATOWN",6,4,10
"AVALON PARK,CALUMET HEIGHTS",2,4,6
"CHATHAM,BURNSIDE",4,2,6
"BELMONT CRAIGIN,HERMOSA",7,7,14
"IRVING PARK,AVONDALE",3,4,7
LOGAN SQUARE,5,9,14
"AVALON PARK,CALUMET HEIGHTS",8,5,13
SOUTHEAST SIDE,5,1,6
WEST PULLMAN,2,5,7
MIDWAY AIRPORT,1,2,3
BACK OF THE YARDS,7,6,13
ENGLEWOOD,8,7,15
"SOUTH SHORE, GRAND CROSSING",6,5,11
ASHBURN,3,4,7
"MOUNT GREENWOOD,MORGAN PARK",4,4,8
"MOUNT GREENWOOD,MORGAN PARK",6,2,8
OHARE,2,7,9
JACKSON PARK,6,4,10
LOOP,8,9,17
PULLMAN,5,5,10
RIVERDALE,2,1,3
SOUTHEAST SIDE,6,5,11
GREEKTOWN,7,2,9
BRONZEVILLE,8,6,14
MUSEUM CAMPUS,9,7,16
EDGEWATER,6,5,11
LAKE VIEW,3,4,7
LINCOLN PARK,4,4,8
STREETERVILLE,4,2,6
LINCOLN SQUARE,7,7,14
"OAKLAND,KENWOOD",2,4,6
GRANT PARK,6,9,15
WEST LOOP,7,5,12
BACK OF THE YARDS,4,1,5
ANDERSONVILLE,9,5,14
WOODLAWN,6,2,8
PORTAGE PARK,2,6,8
RUSH & DIVISION,4,7,11
"LITTLE ITALY, UIC",7,5,12
"KENWOOD,OAKLAND",3,4,7
ROGERS PARK,5,4,9
JEFFERSON PARK,8,2,10
"SAUGANASH,FOREST GLEN",5,7,12
"NORTH PARK,ALBANY PARK",2,4,6
"NORTH PARK,ALBANY PARK",1,7,8
"IRVING PARK,AVONDALE",7,5,12
DUNNING,8,4,12
WEST RIDGE,6,4,10
UPTOWN,3,2,5
NORWOOD PARK,4,7,11
STREETERVILLE,7,4,11
"SOUTH SHORE, GRAND CROSSING",3,9,12
"CHATHAM,BURNSIDE",5,5,10
SOUTH CHICAGO,8,1,9
"WASHINGTON HEIGHTS,ROSELAND",5,5,10
NORTH CENTER,2,2,4
SOUTHEAST SIDE,1,6,7
WASHINGTON PARK,7,7,14
MILLENIUM PARK,8,5,13
NEAR SOUTH SIDE,6,4,10
"ARMOUR SQUARE,CHINATOWN",3,4,7
"MARQUETTE PARK,GAGE PARK",4,2,6
AUBURN GRESHAM,6,7,13
BEVERLY,2,4,6
"WASHINGTON HEIGHTS,ROSELAND",6,7,13
EDISON PARK,8,5,13
HYDE PARK,5,4,9
BUCKTOWN,2,4,6
LOWER WEST SIDE,6,2,8
WRIGLEYVILLE,7,7,14
"ARCHER HEIGHTS,WEST ELSDON",8,4,12
"BRIGHTON PARK,MCKINLEY PARK",9,9,18
"BRIGHTON PARK,MCKINLEY PARK",6,5,11
UKRAINIAN VILLAGE AND EAST VILLAGE,3,1,4
"WICKER PARK,WEST TOWN",4,5,9
BRIDGEPORT,4,2,6
"ARCHER HEIGHTS,WEST ELSDON",7,6,13
"MARQUETTE PARK,GAGE PARK",2,7,9
MIDWAY AIRPORT,6,5,11
WEST LAWN,7,4,11
"WICKER PARK,WEST TOWN",4,4,8
UKRAINIAN VILLAGE AND EAST VILLAGE,5,2,7
"MONTCLARE, GALEWOOD",7,7,14
"MONTCLARE, GALEWOOD",4,4,8
OLD TOWN,2,9,11
"BELMONT CRAGIN,HERMOSA",3,6,9
AUSTIN,5,2,7
GOLD COAST,7,3,10
BOYSTOWN,9,6,15
RIVER NORTH,7,2,9
