state_abbr,state_fips,county_fips,county_name,tract_code,stcotr_fips,stpl_fips,city_name,metric_name,metric_number,group_name,group_number,num,denom,est,lci,uci,data_yr_type,date_export,geo_level,version,suggested_citation
IL,17,31,Cook County,10100,17031010100,1714000,Chicago,Diabetes,6,total population,1,-999,-999,10.3,9.7,10.9,"2018, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,10201,17031010201,1714000,Chicago,Diabetes,6,total population,1,-999,-999,11.1,10.6,11.6,"2018, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,10202,17031010202,1714000,Chicago,Diabetes,6,total population,1,-999,-999,11.9,11.3,12.5,"2018, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,10300,17031010300,1714000,Chicago,Diabetes,6,total population,1,-999,-999,10.4,9.9,10.9,"2018, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,10400,17031010400,1714000,Chicago,Diabetes,6,total population,1,-999,-999,5.5,5.2,5.8,"2018, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,10501,17031010501,1714000,Chicago,Diabetes,6,total population,1,-999,-999,8,7.6,8.4,"2018, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,10502,17031010502,1714000,Chicago,Diabetes,6,total population,1,-999,-999,7,6.6,7.4,"2018, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,10503,17031010503,1714000,Chicago,Diabetes,6,total population,1,-999,-999,13.7,13.1,14.3,"2018, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,10600,17031010600,1714000,Chicago,Diabetes,6,total population,1,-999,-999,8.1,7.6,8.6,"2018, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,10701,17031010701,1714000,Chicago,Diabetes,6,total population,1,-999,-999,9.5,9.1,9.9,"2018, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,10702,17031010702,1714000,Chicago,Diabetes,6,total population,1,-999,-999,9.3,8.8,9.8,"2018, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,20100,17031020100,1714000,Chicago,Diabetes,6,total population,1,-999,-999,9.8,9.3,10.3,"2018, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,20200,17031020200,1714000,Chicago,Diabetes,6,total population,1,-999,-999,10.8,10.2,11.4,"2018, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,20301,17031020301,1714000,Chicago,Diabetes,6,total population,1,-999,-999,10.3,9.2,11.4,"2018, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,20302,17031020302,1714000,Chicago,Diabetes,6,total population,1,-999,-999,10.3,9.7,10.9,"2018, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,20400,17031020400,1714000,Chicago,Diabetes,6,total population,1,-999,-999,9.8,9.3,10.3,"2018, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,20500,17031020500,1714000,Chicago,Diabetes,6,total population,1,-999,-999,12.7,12.2,13.2,"2018, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,20601,17031020601,1714000,Chicago,Diabetes,6,total population,1,-999,-999,10.6,10,11.2,"2018, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,20602,17031020602,1714000,Chicago,Diabetes,6,total population,1,-999,-999,11.5,10.9,12.1,"2018, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,20701,17031020701,1714000,Chicago,Diabetes,6,total population,1,-999,-999,10.2,9.6,10.8,"2018, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,20702,17031020702,1714000,Chicago,Diabetes,6,total population,1,-999,-999,12.2,11.6,12.8,"2018, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,20801,17031020801,1714000,Chicago,Diabetes,6,total population,1,-999,-999,10.2,9.7,10.7,"2018, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,20802,17031020802,1714000,Chicago,Diabetes,6,total population,1,-999,-999,11.5,11,12,"2018, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,20901,17031020901,1714000,Chicago,Diabetes,6,total population,1,-999,-999,11.4,10.9,11.9,"2018, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,20902,17031020902,1714000,Chicago,Diabetes,6,total population,1,-999,-999,12.6,12.2,13,"2018, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,30101,17031030101,1714000,Chicago,Diabetes,6,total population,1,-999,-999,9.9,9.4,10.4,"2018, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,30102,17031030102,1714000,Chicago,Diabetes,6,total population,1,-999,-999,8.1,7.7,8.5,"2018, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,30103,17031030103,1714000,Chicago,Diabetes,6,total population,1,-999,-999,5.9,5.6,6.2,"2018, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,30104,17031030104,1714000,Chicago,Diabetes,6,total population,1,-999,-999,5.8,5.5,6.1,"2018, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,30200,17031030200,1714000,Chicago,Diabetes,6,total population,1,-999,-999,6.7,6.2,7.2,"2018, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,30300,17031030300,1714000,Chicago,Diabetes,6,total population,1,-999,-999,11.3,10.8,11.8,"2018, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,30400,17031030400,1714000,Chicago,Diabetes,6,total population,1,-999,-999,9,8.5,9.5,"2018, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,30500,17031030500,1714000,Chicago,Diabetes,6,total population,1,-999,-999,5.8,5.4,6.2,"2018, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,30601,17031030601,1714000,Chicago,Diabetes,6,total population,1,-999,-999,11.5,10.8,12.2,"2018, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,30603,17031030603,1714000,Chicago,Diabetes,6,total population,1,-999,-999,7.1,6.7,7.5,"2018, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,30604,17031030604,1714000,Chicago,Diabetes,6,total population,1,-999,-999,9.8,9.3,10.3,"2018, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,30701,17031030701,1714000,Chicago,Diabetes,6,total population,1,-999,-999,8.4,7.9,8.9,"2018, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,30702,17031030702,1714000,Chicago,Diabetes,6,total population,1,-999,-999,8.4,8,8.8,"2018, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,30703,17031030703,1714000,Chicago,Diabetes,6,total population,1,-999,-999,11.2,10.5,11.9,"2018, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,30706,17031030706,1714000,Chicago,Diabetes,6,total population,1,-999,-999,9.9,9.1,10.7,"2018, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,30800,17031030800,1714000,Chicago,Diabetes,6,total population,1,-999,-999,6,5.6,6.4,"2018, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,30900,17031030900,1714000,Chicago,Diabetes,6,total population,1,-999,-999,6.4,6.1,6.7,"2018, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,31000,17031031000,1714000,Chicago,Diabetes,6,total population,1,-999,-999,5.5,5.2,5.8,"2018, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,31100,17031031100,1714000,Chicago,Diabetes,6,total population,1,-999,-999,6.1,5.8,6.4,"2018, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,31200,17031031200,1714000,Chicago,Diabetes,6,total population,1,-999,-999,13.5,12.7,14.3,"2018, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,31300,17031031300,1714000,Chicago,Diabetes,6,total population,1,-999,-999,11.3,10.8,11.8,"2018, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,31400,17031031400,1714000,Chicago,Diabetes,6,total population,1,-999,-999,6.8,6.4,7.2,"2018, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,31501,17031031501,1714000,Chicago,Diabetes,6,total population,1,-999,-999,14.7,14,15.4,"2018, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,31502,17031031502,1714000,Chicago,Diabetes,6,total population,1,-999,-999,11.5,10.9,12.1,"2018, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,31700,17031031700,1714000,Chicago,Diabetes,6,total population,1,-999,-999,7.2,6.8,7.6,"2018, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,31800,17031031800,1714000,Chicago,Diabetes,6,total population,1,-999,-999,4.7,4.4,5,"2018, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,31900,17031031900,1714000,Chicago,Diabetes,6,total population,1,-999,-999,5.3,5,5.6,"2018, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,32100,17031032100,1714000,Chicago,Diabetes,6,total population,1,-999,-999,6.3,5.9,6.7,"2018, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,40100,17031040100,1714000,Chicago,Diabetes,6,total population,1,-999,-999,7.1,6.8,7.4,"2018, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,40201,17031040201,1714000,Chicago,Diabetes,6,total population,1,-999,-999,6.1,5.8,6.4,"2018, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,40202,17031040202,1714000,Chicago,Diabetes,6,total population,1,-999,-999,10.6,10.1,11.1,"2018, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,40300,17031040300,1714000,Chicago,Diabetes,6,total population,1,-999,-999,8,7.5,8.5,"2018, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,40401,17031040401,1714000,Chicago,Diabetes,6,total population,1,-999,-999,5.5,5.2,5.8,"2018, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,40402,17031040402,1714000,Chicago,Diabetes,6,total population,1,-999,-999,4.2,4,4.4,"2018, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,40600,17031040600,1714000,Chicago,Diabetes,6,total population,1,-999,-999,4.3,4,4.6,"2018, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,40700,17031040700,1714000,Chicago,Diabetes,6,total population,1,-999,-999,5.1,4.8,5.4,"2018, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,40800,17031040800,1714000,Chicago,Diabetes,6,total population,1,-999,-999,5.9,5.5,6.3,"2018, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,40900,17031040900,1714000,Chicago,Diabetes,6,total population,1,-999,-999,4.5,4.2,4.8,"2018, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,50100,17031050100,1714000,Chicago,Diabetes,6,total population,1,-999,-999,4.1,3.8,4.4,"2018, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,50200,17031050200,1714000,Chicago,Diabetes,6,total population,1,-999,-999,6.4,6,6.8,"2018, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,50300,17031050300,1714000,Chicago,Diabetes,6,total population,1,-999,-999,6,5.6,6.4,"2018, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,50500,17031050500,1714000,Chicago,Diabetes,6,total population,1,-999,-999,4.6,4.3,4.9,"2018, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,50600,17031050600,1714000,Chicago,Diabetes,6,total population,1,-999,-999,3.7,3.5,3.9,"2018, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,50700,17031050700,1714000,Chicago,Diabetes,6,total population,1,-999,-999,3.7,3.5,3.9,"2018, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,50800,17031050800,1714000,Chicago,Diabetes,6,total population,1,-999,-999,4.1,3.8,4.4,"2018, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,50900,17031050900,1714000,Chicago,Diabetes,6,total population,1,-999,-999,4.7,4.4,5,"2018, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,51000,17031051000,1714000,Chicago,Diabetes,6,total population,1,-999,-999,3.9,3.6,4.2,"2018, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,51100,17031051100,1714000,Chicago,Diabetes,6,total population,1,-999,-999,3.5,3.2,3.8,"2018, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,51200,17031051200,1714000,Chicago,Diabetes,6,total population,1,-999,-999,3.3,3,3.6,"2018, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,51300,17031051300,1714000,Chicago,Diabetes,6,total population,1,-999,-999,3.6,3.4,3.8,"2018, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,51400,17031051400,1714000,Chicago,Diabetes,6,total population,1,-999,-999,5,4.7,5.3,"2018, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,60100,17031060100,1714000,Chicago,Diabetes,6,total population,1,-999,-999,3.9,3.6,4.2,"2018, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,60200,17031060200,1714000,Chicago,Diabetes,6,total population,1,-999,-999,5,4.7,5.3,"2018, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,60300,17031060300,1714000,Chicago,Diabetes,6,total population,1,-999,-999,3.4,3.2,3.6,"2018, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,60400,17031060400,1714000,Chicago,Diabetes,6,total population,1,-999,-999,3,2.8,3.2,"2018, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,60500,17031060500,1714000,Chicago,Diabetes,6,total population,1,-999,-999,10.8,10.1,11.5,"2018, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,60800,17031060800,1714000,Chicago,Diabetes,6,total population,1,-999,-999,4.5,4.3,4.7,"2018, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,60900,17031060900,1714000,Chicago,Diabetes,6,total population,1,-999,-999,5.4,5.1,5.7,"2018, 1 Year Modeled Estimate",11/1/22,tract,13.1,
