state_abbr,state_fips,county_fips,county_name,tract_code,stcotr_fips,stpl_fips,city_name,metric_name,metric_number,group_name,group_number,num,denom,est,lci,uci,data_yr_type,date_export,geo_level,version,suggested_citation
IL,17,31,Cook County,10100,17031010100,1714000,Chicago,High blood pressure,9,total population,1,-999,-999,31.9,31.1,32.7,"2017, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,10201,17031010201,1714000,Chicago,High blood pressure,9,total population,1,-999,-999,30.2,29.6,30.8,"2017, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,10202,17031010202,1714000,Chicago,High blood pressure,9,total population,1,-999,-999,32.9,32.1,33.7,"2017, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,10300,17031010300,1714000,Chicago,High blood pressure,9,total population,1,-999,-999,32.5,31.7,33.3,"2017, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,10400,17031010400,1714000,Chicago,High blood pressure,9,total population,1,-999,-999,19.5,18.9,20.1,"2017, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,10501,17031010501,1714000,Chicago,High blood pressure,9,total population,1,-999,-999,27,26.3,27.7,"2017, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,10502,17031010502,1714000,Chicago,High blood pressure,9,total population,1,-999,-999,22.6,21.9,23.3,"2017, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,10503,17031010503,1714000,Chicago,High blood pressure,9,total population,1,-999,-999,32.5,31.7,33.3,"2017, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,10600,17031010600,1714000,Chicago,High blood pressure,9,total population,1,-999,-999,25.7,25,26.4,"2017, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,10701,17031010701,1714000,Chicago,High blood pressure,9,total population,1,-999,-999,27.5,26.9,28.1,"2017, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,10702,17031010702,1714000,Chicago,High blood pressure,9,total population,1,-999,-999,26.4,25.6,27.2,"2017, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,20100,17031020100,1714000,Chicago,High blood pressure,9,total population,1,-999,-999,31.7,31,32.4,"2017, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,20200,17031020200,1714000,Chicago,High blood pressure,9,total population,1,-999,-999,29.8,28.9,30.7,"2017, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,20301,17031020301,1714000,Chicago,High blood pressure,9,total population,1,-999,-999,33.8,32.3,35.3,"2017, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,20302,17031020302,1714000,Chicago,High blood pressure,9,total population,1,-999,-999,29.5,28.5,30.5,"2017, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,20400,17031020400,1714000,Chicago,High blood pressure,9,total population,1,-999,-999,29.4,28.5,30.3,"2017, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,20500,17031020500,1714000,Chicago,High blood pressure,9,total population,1,-999,-999,32.1,31.6,32.6,"2017, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,20601,17031020601,1714000,Chicago,High blood pressure,9,total population,1,-999,-999,28.7,27.9,29.5,"2017, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,20602,17031020602,1714000,Chicago,High blood pressure,9,total population,1,-999,-999,29.2,28.4,30,"2017, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,20701,17031020701,1714000,Chicago,High blood pressure,9,total population,1,-999,-999,29.5,28.6,30.4,"2017, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,20702,17031020702,1714000,Chicago,High blood pressure,9,total population,1,-999,-999,30.3,29.5,31.1,"2017, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,20801,17031020801,1714000,Chicago,High blood pressure,9,total population,1,-999,-999,27.6,26.9,28.3,"2017, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,20802,17031020802,1714000,Chicago,High blood pressure,9,total population,1,-999,-999,27.9,27.2,28.6,"2017, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,20901,17031020901,1714000,Chicago,High blood pressure,9,total population,1,-999,-999,28.5,27.9,29.1,"2017, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,20902,17031020902,1714000,Chicago,High blood pressure,9,total population,1,-999,-999,31.6,31,32.2,"2017, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,30101,17031030101,1714000,Chicago,High blood pressure,9,total population,1,-999,-999,29.9,29.1,30.7,"2017, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,30102,17031030102,1714000,Chicago,High blood pressure,9,total population,1,-999,-999,26.9,26.2,27.6,"2017, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,30103,17031030103,1714000,Chicago,High blood pressure,9,total population,1,-999,-999,19.7,19.2,20.2,"2017, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,30104,17031030104,1714000,Chicago,High blood pressure,9,total population,1,-999,-999,18.3,17.7,18.9,"2017, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,30200,17031030200,1714000,Chicago,High blood pressure,9,total population,1,-999,-999,23.1,22.3,23.9,"2017, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,30300,17031030300,1714000,Chicago,High blood pressure,9,total population,1,-999,-999,30.3,29.6,31,"2017, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,30400,17031030400,1714000,Chicago,High blood pressure,9,total population,1,-999,-999,26.8,25.9,27.7,"2017, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,30500,17031030500,1714000,Chicago,High blood pressure,9,total population,1,-999,-999,20.6,19.8,21.4,"2017, 1 Year Modeled Estimate",11/1/22,tract,13.1,
IL,17,31,Cook County,30601,17031030601,1714000,Chicago,High blood pressure,9,total population,1,-999,-999,33.4,32.5,34.3,"2017, 1 Year Modeled Estimate",11/1/22,tract,13.1,
