,latitude,longitude,size,community_area_name
MCGUANE (JOHN),41.84121015,-87.64867008738815,0.008512537397312352,BRIDGEPORT
ARMOUR (PHILIP) SQUARE,41.834243799999996,-87.63503762572628,0.007479462470454058,ARMOUR SQUARE
FULLER (MELVILLE),41.81198345,-87.63492968508908,0.009347261938213855,FULLER PARK
CORNELL (PAUL) SQUARE,41.80316660802778,-87.67060650123534,0.0072728474850823985,NEW CITY
RUSSELL (MARTIN) SQUARE,41.7443631,-87.54989819394903,0.008305922411940694,SOUTH CHICAGO
SHERMAN (JOHN),41.79950920172033,-87.65767623376706,0.04767847402436404,NEW CITY
DAVIS (DR. NATHAN) SQUARE,41.81343839936837,-87.6664364816369,0.007363758078645928,NEW CITY
OGDEN (WILLIAM),41.77504785,-87.65526562532736,0.04714127506239772,WEST ENGLEWOOD
HAMILTON (ALEXANDER),41.762860200000006,-87.63766537217651,0.02391775070662325,ENGLEWOOD
CALUMET,41.71758375,-87.5301963176882,0.14982892279211227,EAST SIDE
WASHINGTON (GEORGE),41.7070309,-87.6137613,0.2896659448916511,ROSELAND
PARK NO. 326,41.7781036752039,-87.59312710402108,0.00018182118712705995,WOODLAWN
MARQUETTE (JACQUES),41.77066636761087,-87.70305809681578,0.26085555133142696,CHICAGO LAWN
BESSEMER (HENRY),41.7328665,-87.55641629145495,0.016752343013934114,SOUTH CHICAGO
PALMER (POTTER),41.692737,-87.618099,0.03176912015074629,ROSELAND
KOSCIUSZKO (THADEUZ),41.9309098,-87.72383806475555,0.007446404072794592,LOGAN SQUARE
GRAND CROSSING,41.75560135963334,-87.60154111843616,0.015611828294682557,GREATER GRAND CROSSING
TRUMBULL (LYMAN),41.705707149999995,-87.5644580537149,0.014909337344418915,SOUTH DEERING
MANN (JAMES),41.65908558390678,-87.549349376915,0.015587034496437956,HEGEWISCH
TULEY (MURRAY),41.7304748,-87.5898198,0.015454800905800096,CALUMET HEIGHTS
JACKSON (ANDREW),41.7788187,-87.58545600773346,0.45580918692870953,WOODLAWN
GAGE (GEORGE),41.79350015,-87.68497540121271,0.021901188449395856,GAGE PARK
MCKINLEY (WILLIAM),41.82374735,-87.6824576507787,0.0595794971817716,MCKINLEY PARK
GRANT (ULYSSES),41.8843538,-87.623393,0.24417758971222664,LOOP
FOSTER (J. FRANK),41.7409452,-87.6898001,0.02082679052546323,ASHBURN
BURNHAM (DANIEL),41.864890368331814,-87.61768413290784,0.5436701433081539,NEAR SOUTH SIDE
AVALON,41.74362195,-87.59427431655169,0.02290120497859469,AVALON PARK
RAINEY (EDWARD),41.7503231,-87.73100421776144,0.011818377163258897,ASHBURN
NORTHERLY ISLAND,41.86176623494266,-87.60998602729394,0.09748921469776359,NEAR SOUTH SIDE
GOMPERS (SAMUEL),41.975847099999996,-87.7344154037823,0.031603828162448964,NORTH PARK
BOHN (HENRY),41.692027,-87.670821,0.0013636589034529496,MORGAN PARK
CRESCENT,41.6967210902242,-87.67932374657332,0.004933965850675217,MORGAN PARK
KENNEDY (DENNIS),41.68713385,-87.68175317397669,0.015272979718673037,MORGAN PARK
NINEBARK,41.8424335,-87.72328,0.00020661498537165903,SOUTH LAWNDALE
FIELD (EUGENE),41.97400195,-87.72242842256321,0.014729397990049423,ALBANY PARK
KIWANIS,41.9735019,-87.7493726,0.001281012909304286,FOREST GLEN
ADA (SAWYER GARRETT),41.6882676,-87.65597842638662,0.013818410221656556,MORGAN PARK
PROSPECT GARDENS,41.69421374311107,-87.66911708728615,0.003041372584670821,MORGAN PARK
ALMOND,41.68432457779809,-87.67812461637247,0.0006115803567001108,MORGAN PARK
MONUMENT,42.002285,-87.818475,0.0013306005057934843,EDISON PARK
ORIOLE,41.97857205,-87.81481307485997,0.016091175060744804,NORWOOD PARK
OLYMPIA,41.9993527,-87.81515393130672,0.008057984429494703,EDISON PARK
AVONDALE,41.9412692,-87.71526209789735,0.0010826625233474935,AVONDALE
BROOKS (OSCAR),42.009283509343575,-87.80677600621084,0.007785252648804112,EDISON PARK
EDISON (THOMAS ALVA),42.00404685,-87.817587377627,0.000685961751433908,EDISON PARK
FERNWOOD,41.70409745,-87.63861436765706,0.010190251078530223,ROSELAND
EUCLID,41.71579577444787,-87.6371075661531,0.0053471958214185355,WASHINGTON HEIGHTS
FOREST GLEN,41.977935120774866,-87.75470584048165,0.00034711317542438717,FOREST GLEN
HOLLYWOOD,41.989159,-87.71190428767234,0.0059505115787037806,NORTH PARK
ATHLETIC FIELD,41.9467196,-87.71700694694292,0.003595100745466867,IRVING PARK
BEEHIVE,41.78290676511572,-87.59151115003918,0.00022314418420139176,WOODLAWN
JENSEN (CHRIST),41.964803,-87.720702,0.002314087836162581,ALBANY PARK
INDEPENDENCE,41.95295885,-87.7247681,0.007289376683912131,IRVING PARK
KILBOURN,41.944601500000005,-87.73857849896645,0.009983636093158565,IRVING PARK
KOLMAR,41.956176280321266,-87.74171880728835,0.0008512537397312352,IRVING PARK
MAYFAIR,41.9626943509231,-87.74198478918703,0.002479379824459908,IRVING PARK
NORTH MAYFAIR,41.97362510598551,-87.7420480274493,0.00027273178069058993,ALBANY PARK
