Layer,Name,GEOID,HDX_2015-2019,HDX_2015-2019_moe
Census tract,Tract 101,17031010100,63.9,
Census tract,Tract 102.01,17031010201,83.8,
Census tract,Tract 102.02,17031010202,86.4,
Census tract,Tract 103,17031010300,51.8,
Census tract,Tract 104,17031010400,45.8,
Census tract,Tract 105.01,17031010501,33.1,
Census tract,Tract 105.02,17031010502,56.2,
Census tract,Tract 105.03,17031010503,89.9,
Census tract,Tract 106,17031010600,57.0,
Census tract,Tract 107.01,17031010701,34.6,
Census tract,Tract 107.02,17031010702,74.7,
Census tract,Tract 201,17031020100,61.2,
Census tract,Tract 202,17031020200,55.9,
Census tract,Tract 203.01,17031020301,72.1,
Census tract,Tract 203.02,17031020302,50.7,
Census tract,Tract 204,17031020400,49.6,
Census tract,Tract 205,17031020500,93.4,
Census tract,Tract 206.01,17031020601,96.2,
Census tract,Tract 206.02,17031020602,83.2,
Census tract,Tract 207.01,17031020701,30.6,
Census tract,Tract 207.02,17031020702,93.9,
Census tract,Tract 208.01,17031020801,71.2,
Census tract,Tract 208.02,17031020802,89.7,
Census tract,Tract 209.01,17031020901,76.5,
Census tract,Tract 209.02,17031020902,85.0,
Census tract,Tract 301.01,17031030101,66.1,
Census tract,Tract 301.02,17031030102,25.7,
Census tract,Tract 301.03,17031030103,29.3,
Census tract,Tract 301.04,17031030104,75.7,
Census tract,Tract 302,17031030200,14.8,
Census tract,Tract 303,17031030300,68.3,
Census tract,Tract 304,17031030400,23.8,
Census tract,Tract 305,17031030500,8.5,
Census tract,Tract 306.01,17031030601,79.7,
Census tract,Tract 306.03,17031030603,33.8,
Census tract,Tract 306.04,17031030604,38.9,
Census tract,Tract 307.01,17031030701,62.8,
Census tract,Tract 307.02,17031030702,18.7,
Census tract,Tract 307.03,17031030703,30.0,
Census tract,Tract 307.06,17031030706,36.0,
Census tract,Tract 308,17031030800,5.1,
Census tract,Tract 309,17031030900,5.1,
Census tract,Tract 310,17031031000,5.6,
