,latitude,longitude,community_area_name,size
25-08-423-010-0000,41.70943697725072,-87.64395697463351,WASHINGTON HEIGHTS,0.008072123993632248
26-06-413-008-0000,41.72801579031943,-87.54596980513294,SOUTH CHICAGO,0.029620306499734045
13-35-500-001-0000,41.91403103130369,-87.71905448430608,LOGAN SQUARE,0.1037567528849054
20-15-122-009-0000,41.79176578262676,-87.61704995176619,WASHINGTON PARK,0.12481391062023597
20-02-401-021-0000,41.81521764829472,-87.59578478102142,KENWOOD,0.028058307172400643
25-03-404-025-0000,41.728030168256176,-87.61362637665546,CHATHAM,0.019950608858543255
16-08-416-035-0000,41.884316376624824,-87.7668148464244,AUSTIN,0.1996354187207174
25-27-114-021-0000,41.67500730925235,-87.62077298702657,WEST PULLMAN,0.06761777960178557
20-22-227-021-0000,41.77330396539271,-87.6115204226079,WOODLAWN,0.03911244055389249
20-22-403-002-0000,41.77280228933608,-87.61026029732001,WOODLAWN,0.032856358041616386
20-22-401-023-0000,41.77263069433192,-87.61215560483754,WOODLAWN,0.02890099864760757
20-22-403-001-0000,41.77279988308555,-87.61039255476162,WOODLAWN,0.03236906302307546
20-22-227-020-0000,41.77321918874816,-87.61165307236912,WOODLAWN,0.03861697151467724
20-04-120-004-0000,41.81872228552668,-87.64158363065086,NEW CITY,0.7093423674248712
16-12-300-014-0000,41.88797958743345,-87.70598383399805,EAST GARFIELD PARK,0.3528089214113752
20-02-106-038-0000,41.82018665607259,-87.6030126563572,OAKLAND,0.014258684415519312
20-19-313-014-0000,41.76918330403678,-87.67926535091476,CHICAGO LAWN,0.015379988271161178
16-23-128-014-0000,41.85961903758535,-87.71730965370563,NORTH LAWNDALE,0.2628736441191698
17-27-409-069-0000,41.84132341434838,-87.61374482939479,DOUGLAS,0.18385329404387799
17-27-402-017-0000,41.845626262277435,-87.61606310320171,DOUGLAS,0.3041949111351701
16-15-214-024-0000,41.87728578539122,-87.73019567533187,WEST GARFIELD PARK,0.15877350602443463
17-27-410-061-0000,41.84105661012296,-87.6129985911819,DOUGLAS,0.22179658436358385
17-27-413-034-0000,41.8388492166393,-87.61299400227409,DOUGLAS,0.12038430759758975
17-27-409-070-0000,41.84132341434838,-87.61374482939479,DOUGLAS,0.18350850635044563
17-27-402-014-0000,41.84443586710302,-87.6153731627836,NEAR SOUTH SIDE,0.08729803342532694
17-27-409-071-0000,41.84172218121528,-87.61404643275327,DOUGLAS,0.18970912847070576
17-27-402-016-0000,41.845709602145455,-87.61614396019405,DOUGLAS,0.2967259147600337
17-27-407-063-0000,41.839083326856645,-87.61432114744113,DOUGLAS,0.1414943029585886
17-27-409-072-0000,41.84132341434838,-87.61374482939479,DOUGLAS,0.18281803918484016
20-17-430-005-0000,41.781112879590246,-87.64667129956293,ENGLEWOOD,
17-27-409-041-0000,41.84132341434838,-87.61374482939479,DOUGLAS,0.18316373206432687
17-27-400-006-0000,41.84443586710302,-87.6153731627836,NEAR SOUTH SIDE,0.01868184045316151
16-36-100-055-0000,41.838409612405975,-87.62683314114821,DOUGLAS,0.3535303482574332
17-21-427-001-0000,41.85836099504321,-87.63053486802295,NEAR SOUTH SIDE,0.06560618062925
20-33-112-010-0000,41.74838735027896,-87.63753207963138,CHATHAM,0.07735746145794932
17-27-402-009-0000,41.845277366034445,-87.61564564012542,DOUGLAS,0.286826326662276
16-15-414-047-0000,41.870286800582484,-87.72566157197818,WEST GARFIELD PARK,0.06398672813106074
17-27-409-067-0000,41.841417702576855,-87.61391050769222,DOUGLAS,0.18488640399473966
17-27-405-011-0000,41.84288270857315,-87.61498873894776,DOUGLAS,0.27066530466246225
